,County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total,Quarter
0,Alameda,0,70,1465,2334,375,38,4282,q3_22.csv
1,Alpine,0,0,16,0,0,0,16,q3_22.csv
2,Amador,0,0,25,0,8,0,33,q3_22.csv
3,Butte,6,0,59,46,27,1,139,q3_22.csv
4,Calaveras,0,2,9,0,12,0,23,q3_22.csv
5,Colusa,0,0,16,0,18,0,34,q3_22.csv
6,Contra Costa,0,2,630,608,251,4,1495,q3_22.csv
7,Del Norte,0,0,14,1,22,2,39,q3_22.csv
8,El Dorado,1,0,140,4,48,1,194,q3_22.csv
9,Fresno,8,1,507,412,217,13,1158,q3_22.csv
10,Glenn,0,0,4,0,10,0,14,q3_22.csv
11,Humboldt,0,0,109,10,31,0,150,q3_22.csv
12,Imperial,0,0,12,12,20,1,45,q3_22.csv
13,Inyo,0,0,8,5,35,1,49,q3_22.csv
14,Kern,4,1,165,248,226,2,646,q3_22.csv
15,Kings,0,0,49,22,105,0,176,q3_22.csv
16,Lake,0,0,15,0,0,0,15,q3_22.csv
17,Lassen,0,1,7,0,8,0,16,q3_22.csv
18,Los Angeles,29,120,7440,16498,1352,246,25685,q3_22.csv
19,Madera,0,1,47,18,85,10,161,q3_22.csv
20,Marin,1,0,467,382,83,0,933,q3_22.csv
21,Mariposa,0,0,23,0,10,0,33,q3_22.csv
22,Mendocino,0,0,129,20,51,0,200,q3_22.csv
23,Merced,10,2,35,31,96,3,177,q3_22.csv
24,Modoc,0,0,4,0,8,0,12,q3_22.csv
25,Mono,0,0,19,7,12,0,38,q3_22.csv
26,Monterey,0,0,198,44,151,1,394,q3_22.csv
27,Napa,0,0,325,24,42,0,391,q3_22.csv
28,Nevada,0,1,73,43,44,0,161,q3_22.csv
29,Orange,1,0,2694,1853,644,22,5214,q3_22.csv
30,Placer,0,1,228,64,128,4,425,q3_22.csv
31,Plumas,0,0,7,0,0,0,7,q3_22.csv
32,Riverside,0,1,956,142,398,11,1508,q3_22.csv
33,Sacramento,69,18,988,386,276,19,1756,q3_22.csv
34,San Benito,0,0,8,10,25,0,43,q3_22.csv
35,San Bernardino,3,11,641,495,435,30,1615,q3_22.csv
36,San Diego,2,17,2343,4462,505,29,7358,q3_22.csv
37,San Francisco,9,6,579,697,118,27,1436,q3_22.csv
38,San Joaquin,0,0,192,276,131,13,612,q3_22.csv
39,San Luis Obispo,0,1,340,145,130,0,616,q3_22.csv
40,San Mateo,2,36,2057,2029,302,10,4436,q3_22.csv
